pickup,dropoff,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-17 03:06:45,2019-03-17 03:25:46,Greenwich Village South,Upper East Side North,Manhattan,Manhattan
2019-03-27 14:45:56,2019-03-27 14:59:28,UN/Turtle Bay South,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-07 19:39:20,2019-03-07 20:02:32,Penn Station/Madison Sq West,Two Bridges/Seward Park,Manhattan,Manhattan
2019-03-14 16:28:48,2019-03-14 17:24:39,JFK Airport,Lenox Hill West,Queens,Manhattan
2019-03-30 15:36:06,2019-03-30 15:57:44,West Chelsea/Hudson Yards,Greenwich Village South,Manhattan,Manhattan
2019-03-22 08:41:28,2019-03-22 08:46:48,Upper West Side South,Lincoln Square East,Manhattan,Manhattan
2019-03-21 18:53:32,2019-03-21 19:13:53,Midtown Center,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-21 23:27:45,2019-03-21 23:34:16,Greenwich Village South,Lower East Side,Manhattan,Manhattan
2019-03-27 11:31:43,2019-03-27 11:38:14,Clinton East,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-22 06:30:20,2019-03-22 06:40:57,Upper East Side North,Murray Hill,Manhattan,Manhattan
2019-03-08 19:10:22,2019-03-08 19:20:24,Union Sq,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-16 17:37:27,2019-03-16 17:51:26,Meatpacking/West Village West,Garment District,Manhattan,Manhattan
2019-03-12 08:51:14,2019-03-12 08:56:02,Manhattan Valley,Upper West Side South,Manhattan,Manhattan
2019-03-18 17:24:49,2019-03-18 17:37:23,Financial District North,Murray Hill,Manhattan,Manhattan
2019-03-14 23:37:21,2019-03-15 00:17:07,Midtown Center,Howard Beach,Manhattan,Queens
2019-03-09 15:20:41,2019-03-09 15:26:06,Upper West Side South,Clinton East,Manhattan,Manhattan
2019-03-21 23:11:50,2019-03-21 23:17:26,West Village,West Village,Manhattan,Manhattan
2019-03-27 15:53:39,2019-03-27 16:27:01,Upper West Side North,Murray Hill,Manhattan,Manhattan
2019-03-22 00:04:23,2019-03-22 00:22:33,Upper East Side South,Washington Heights South,Manhattan,Manhattan
2019-03-03 03:43:35,2019-03-03 03:58:29,East Village,Clinton West,Manhattan,Manhattan
2019-03-20 15:39:32,2019-03-20 15:43:19,East Harlem South,Upper East Side North,Manhattan,Manhattan
2019-03-12 22:48:31,2019-03-12 23:18:42,JFK Airport,Lenox Hill East,Queens,Manhattan
2019-03-31 13:37:34,2019-03-31 13:56:07,Penn Station/Madison Sq West,Upper East Side North,Manhattan,Manhattan
2019-03-04 13:33:03,2019-03-04 13:35:46,Yorkville East,Yorkville East,Manhattan,Manhattan
2019-03-18 08:45:16,2019-03-18 08:52:43,Upper East Side South,Upper East Side North,Manhattan,Manhattan
2019-03-26 23:15:16,2019-03-26 23:18:11,Upper West Side North,Central Harlem,Manhattan,Manhattan
2019-03-05 21:21:28,2019-03-05 21:37:43,Lincoln Square East,Central Harlem,Manhattan,Manhattan
2019-03-12 11:29:41,2019-03-12 11:51:42,Union Sq,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-06 12:28:21,2019-03-06 12:49:33,Upper East Side North,Midtown East,Manhattan,Manhattan
2019-03-04 15:59:58,2019-03-04 16:10:45,Lenox Hill West,Midtown Center,Manhattan,Manhattan
2019-03-08 18:13:45,2019-03-08 18:39:44,West Village,Lincoln Square East,Manhattan,Manhattan
2019-03-30 15:56:42,2019-03-30 16:06:54,Union Sq,East Village,Manhattan,Manhattan
2019-03-23 15:26:08,2019-03-23 15:39:28,West Village,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-27 13:40:32,2019-03-27 14:01:05,Greenwich Village North,Midtown North,Manhattan,Manhattan
2019-03-25 16:18:47,2019-03-25 16:45:18,Kips Bay,Hamilton Heights,Manhattan,Manhattan
2019-03-10 16:38:09,2019-03-10 17:03:03,East Village,Lenox Hill West,Manhattan,Manhattan
2019-03-16 20:41:56,2019-03-16 21:01:01,Meatpacking/West Village West,Murray Hill,Manhattan,Manhattan
2019-03-27 09:22:23,2019-03-27 09:27:39,Clinton West,Central Park,Manhattan,Manhattan
2019-03-19 20:13:26,2019-03-19 20:16:31,West Village,Greenwich Village South,Manhattan,Manhattan
2019-03-24 11:24:51,2019-03-24 11:40:08,East Harlem North,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-10 10:27:55,2019-03-10 10:31:06,Clinton East,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-03 19:55:46,2019-03-03 20:00:51,Flatiron,Hudson Sq,Manhattan,Manhattan
2019-03-02 20:35:28,2019-03-02 20:49:47,LaGuardia Airport,Long Island City/Queens Plaza,Queens,Queens
2019-03-02 01:17:14,2019-03-02 01:36:17,Clinton East,Lower East Side,Manhattan,Manhattan
2019-03-16 21:38:23,2019-03-16 21:42:25,Clinton West,Clinton East,Manhattan,Manhattan
2019-03-26 21:18:06,2019-03-26 21:30:17,Union Sq,Lower East Side,Manhattan,Manhattan
2019-03-10 21:39:10,2019-03-10 21:46:31,Union Sq,West Village,Manhattan,Manhattan
2019-03-30 14:53:53,2019-03-30 15:07:02,Flatiron,Central Park,Manhattan,Manhattan
2019-03-29 21:55:32,2019-03-29 22:07:27,TriBeCa/Civic Center,Lower East Side,Manhattan,Manhattan
2019-03-01 20:27:10,2019-03-01 20:34:42,Kips Bay,East Village,Manhattan,Manhattan
2019-03-18 08:29:57,2019-03-18 08:31:58,Upper East Side North,Upper East Side North,Manhattan,Manhattan
2019-03-12 12:52:56,2019-03-12 12:58:45,Upper East Side South,Yorkville West,Manhattan,Manhattan
2019-03-26 11:21:49,2019-03-26 11:29:12,East Village,Greenwich Village North,Manhattan,Manhattan
2019-03-16 09:05:08,2019-03-16 09:10:29,Upper West Side South,Lincoln Square East,Manhattan,Manhattan
2019-03-20 21:42:01,2019-03-20 22:05:44,LaGuardia Airport,Upper West Side North,Queens,Manhattan
2019-03-13 19:28:40,2019-03-13 19:32:22,Hudson Sq,Meatpacking/West Village West,Manhattan,Manhattan
2019-03-14 07:01:55,2019-03-14 07:06:38,Clinton East,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-16 11:25:44,2019-03-16 11:37:44,Yorkville East,Lower East Side,Manhattan,Manhattan
2019-03-16 12:47:42,2019-03-16 12:58:34,Upper East Side South,Upper East Side North,Manhattan,Manhattan
2019-03-15 17:04:47,2019-03-15 17:07:18,East Village,East Village,Manhattan,Manhattan
2019-03-26 14:16:48,2019-03-26 14:23:13,Lower East Side,Alphabet City,Manhattan,Manhattan
2019-03-07 12:40:39,2019-03-07 12:49:06,Upper East Side North,Yorkville East,Manhattan,Manhattan
2019-03-29 06:42:46,2019-03-29 06:46:59,Penn Station/Madison Sq West,West Village,Manhattan,Manhattan
2019-03-03 18:22:21,2019-03-03 18:32:15,Garment District,Clinton West,Manhattan,Manhattan
2019-03-05 11:52:24,2019-03-05 12:11:51,Upper East Side South,Upper East Side South,Manhattan,Manhattan
2019-03-06 09:24:48,2019-03-06 09:25:07,Midtown North,Midtown North,Manhattan,Manhattan
2019-03-14 16:20:07,2019-03-14 16:28:40,Lenox Hill East,Upper East Side South,Manhattan,Manhattan
2019-03-07 16:40:36,2019-03-07 16:43:02,Clinton East,Clinton West,Manhattan,Manhattan
2019-03-30 02:22:16,2019-03-30 02:36:27,Meatpacking/West Village West,Midtown Center,Manhattan,Manhattan
2019-03-17 11:59:53,2019-03-17 12:38:24,East Village,Central Harlem,Manhattan,Manhattan
2019-03-12 10:36:57,2019-03-12 10:52:27,Hudson Sq,Seaport,Manhattan,Manhattan
2019-03-27 15:18:33,2019-03-27 15:19:08,Financial District North,World Trade Center,Manhattan,Manhattan
2019-03-27 12:38:06,2019-03-27 12:40:11,Upper West Side South,Upper West Side North,Manhattan,Manhattan
2019-03-05 22:10:58,2019-03-05 22:21:05,Murray Hill,Upper East Side North,Manhattan,Manhattan
2019-03-18 05:13:36,2019-03-18 05:30:55,East Harlem South,LaGuardia Airport,Manhattan,Queens
2019-03-07 18:41:23,2019-03-07 19:00:41,UN/Turtle Bay South,Midtown North,Manhattan,Manhattan
2019-03-14 18:24:36,2019-03-14 18:38:05,Upper East Side North,Central Park,Manhattan,Manhattan
2019-03-26 18:56:24,2019-03-26 19:10:47,Manhattan Valley,Central Harlem,Manhattan,Manhattan
2019-03-05 21:47:04,2019-03-05 21:57:36,Murray Hill,Flatiron,Manhattan,Manhattan
2019-03-21 18:33:30,2019-03-21 18:40:05,Murray Hill,East Village,Manhattan,Manhattan
2019-03-28 21:34:09,2019-03-28 22:14:38,Gramercy,Midwood,Manhattan,Brooklyn
2019-03-16 08:32:55,2019-03-16 08:53:27,LaGuardia Airport,Long Island City/Queens Plaza,Queens,Queens
2019-03-20 00:51:31,2019-03-20 00:57:10,Times Sq/Theatre District,East Chelsea,Manhattan,Manhattan
2019-03-31 14:47:16,2019-03-31 14:58:54,Battery Park City,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-26 19:50:59,2019-03-26 20:00:16,Midtown East,Garment District,Manhattan,Manhattan
2019-03-11 17:18:03,2019-03-11 18:27:48,LaGuardia Airport,,Queens,
2019-03-29 20:48:40,2019-03-29 21:12:42,Long Island City/Hunters Point,Upper West Side South,Queens,Manhattan
2019-03-07 21:47:54,2019-03-07 22:29:35,Penn Station/Madison Sq West,East Williamsburg,Manhattan,Brooklyn
2019-03-26 13:23:44,2019-03-26 13:33:27,Upper East Side South,Upper East Side North,Manhattan,Manhattan
2019-03-17 14:35:18,2019-03-17 14:50:21,Yorkville East,Clinton West,Manhattan,Manhattan
2019-03-20 08:06:52,2019-03-20 08:13:20,Stuy Town/Peter Cooper Village,Gramercy,Manhattan,Manhattan
2019-03-10 13:48:07,2019-03-10 14:26:11,Penn Station/Madison Sq West,Crown Heights North,Manhattan,Brooklyn
2019-03-08 17:35:24,2019-03-08 17:48:39,Times Sq/Theatre District,Murray Hill,Manhattan,Manhattan
2019-03-20 17:49:03,2019-03-20 18:09:08,Times Sq/Theatre District,Upper East Side North,Manhattan,Manhattan
2019-03-14 17:49:57,2019-03-14 18:19:18,Union Sq,Lincoln Square West,Manhattan,Manhattan
2019-03-30 20:56:28,2019-03-30 21:10:22,Meatpacking/West Village West,East Village,Manhattan,Manhattan
2019-03-13 10:02:04,2019-03-13 10:15:35,Gramercy,Midtown Center,Manhattan,Manhattan
2019-03-03 18:15:18,2019-03-03 18:21:35,Greenwich Village North,East Village,Manhattan,Manhattan
2019-03-02 14:49:24,2019-03-02 14:54:12,Midtown East,Upper East Side North,Manhattan,Manhattan
2019-03-14 20:32:05,2019-03-14 20:48:18,Midtown South,Upper East Side South,Manhattan,Manhattan
2019-03-03 21:15:32,2019-03-03 21:40:15,Midtown South,Flatiron,Manhattan,Manhattan
2019-03-27 14:20:15,2019-03-27 14:31:48,TriBeCa/Civic Center,Union Sq,Manhattan,Manhattan
2019-03-12 12:23:29,2019-03-12 13:09:16,LaGuardia Airport,East Chelsea,Queens,Manhattan
2019-03-07 14:10:37,2019-03-07 14:28:08,Financial District South,Midtown Center,Manhattan,Manhattan
2019-03-13 13:00:49,2019-03-13 13:12:10,Midtown South,Midtown Center,Manhattan,Manhattan
2019-03-08 00:34:17,2019-03-08 00:38:14,Midtown South,Murray Hill,Manhattan,Manhattan
2019-03-19 16:08:42,2019-03-19 16:11:58,Midtown East,Murray Hill,Manhattan,Manhattan
2019-03-13 12:09:35,2019-03-13 12:20:45,Midtown Center,Midtown Center,Manhattan,Manhattan
2019-03-02 15:58:08,2019-03-02 16:15:43,Lower East Side,Midtown East,Manhattan,Manhattan
2019-03-17 15:10:47,2019-03-17 15:17:28,Meatpacking/West Village West,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-31 13:25:12,2019-03-31 13:32:10,Upper East Side South,Midtown Center,Manhattan,Manhattan
2019-03-04 21:24:54,2019-03-04 21:55:07,JFK Airport,,Queens,
2019-03-31 07:33:26,2019-03-31 07:35:34,Penn Station/Madison Sq West,Midtown Center,Manhattan,Manhattan
2019-03-06 17:01:34,2019-03-06 17:14:55,Upper East Side South,Yorkville East,Manhattan,Manhattan
2019-03-22 19:21:22,2019-03-22 19:29:00,Times Sq/Theatre District,Central Park,Manhattan,Manhattan
2019-03-10 14:02:58,2019-03-10 14:11:32,Union Sq,Murray Hill,Manhattan,Manhattan
2019-03-31 20:56:24,2019-03-31 21:02:29,Upper West Side North,Morningside Heights,Manhattan,Manhattan
2019-03-05 13:30:01,2019-03-05 13:42:20,Kips Bay,Midtown Center,Manhattan,Manhattan
2019-03-06 22:27:39,2019-03-06 22:39:22,Times Sq/Theatre District,Greenwich Village South,Manhattan,Manhattan
2019-03-07 16:41:17,2019-03-07 16:49:56,Midtown East,Murray Hill,Manhattan,Manhattan
2019-03-30 16:16:21,2019-03-30 16:27:35,Queensbridge/Ravenswood,Roosevelt Island,Queens,Manhattan
2019-03-29 18:53:13,2019-03-29 19:11:05,West Chelsea/Hudson Yards,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-06 05:34:12,2019-03-06 05:43:33,Garment District,Lenox Hill East,Manhattan,Manhattan
2019-03-17 15:41:26,2019-03-17 15:45:04,Upper East Side North,Upper East Side North,Manhattan,Manhattan
2019-03-17 18:22:41,2019-03-17 18:46:26,JFK Airport,Canarsie,Queens,Brooklyn
2019-03-29 19:53:47,2019-03-29 19:59:13,UN/Turtle Bay South,Murray Hill,Manhattan,Manhattan
2019-03-17 17:50:09,2019-03-17 18:10:29,Washington Heights South,Manhattan Valley,Manhattan,Manhattan
2019-03-29 22:59:11,2019-03-29 23:20:04,Greenwich Village South,Midtown East,Manhattan,Manhattan
2019-03-29 16:01:55,2019-03-29 16:18:09,Upper East Side North,Upper East Side South,Manhattan,Manhattan
2019-03-31 02:38:28,2019-03-31 02:43:31,East Chelsea,Greenwich Village North,Manhattan,Manhattan
2019-03-09 11:19:25,2019-03-09 11:37:01,East Chelsea,Midtown East,Manhattan,Manhattan
2019-03-12 08:23:05,2019-03-12 08:45:47,Meatpacking/West Village West,Lincoln Square East,Manhattan,Manhattan
2019-03-08 14:51:04,2019-03-08 15:00:42,Clinton East,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-21 12:04:05,2019-03-21 12:31:16,East Village,Murray Hill,Manhattan,Manhattan
2019-03-20 19:41:47,2019-03-20 19:50:21,SoHo,Union Sq,Manhattan,Manhattan
2019-03-11 17:33:14,2019-03-11 17:45:40,Midtown East,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-08 08:03:22,2019-03-08 08:11:10,Carroll Gardens,Boerum Hill,Brooklyn,Brooklyn
2019-03-17 14:28:32,2019-03-17 14:45:22,East Chelsea,Clinton East,Manhattan,Manhattan
2019-03-06 10:12:48,2019-03-06 10:20:44,Midtown Center,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-24 06:07:30,2019-03-24 06:12:22,,Midtown East,,Manhattan
2019-03-22 12:22:15,2019-03-22 12:39:08,Battery Park City,East Chelsea,Manhattan,Manhattan
2019-03-07 10:33:16,2019-03-07 11:02:37,Midtown North,Battery Park City,Manhattan,Manhattan
2019-03-28 19:48:00,2019-03-28 20:31:39,JFK Airport,Penn Station/Madison Sq West,Queens,Manhattan
2019-03-27 07:34:07,2019-03-27 07:36:17,Union Sq,Union Sq,Manhattan,Manhattan
2019-03-21 06:49:32,2019-03-21 07:29:34,Flatlands,Clinton East,Brooklyn,Manhattan
2019-03-17 16:54:01,2019-03-17 16:59:39,Greenwich Village North,West Village,Manhattan,Manhattan
2019-03-12 20:30:27,2019-03-12 20:34:46,Midtown East,Gramercy,Manhattan,Manhattan
2019-03-11 15:23:02,2019-03-11 16:10:26,UN/Turtle Bay South,Bay Ridge,Manhattan,Brooklyn
2019-03-27 22:38:49,2019-03-27 23:06:34,TriBeCa/Civic Center,Central Harlem North,Manhattan,Manhattan
2019-03-22 15:50:43,2019-03-22 15:58:57,Yorkville West,Lenox Hill West,Manhattan,Manhattan
2019-03-05 14:18:54,2019-03-05 14:27:11,Midtown North,Midtown Center,Manhattan,Manhattan
2019-03-26 13:34:56,2019-03-26 13:47:40,Union Sq,Midtown East,Manhattan,Manhattan
2019-03-30 17:07:48,2019-03-30 18:10:46,Financial District North,JFK Airport,Manhattan,Queens
2019-03-30 19:06:26,2019-03-30 19:21:31,Midtown Center,East Chelsea,Manhattan,Manhattan
2019-03-07 10:51:03,2019-03-07 11:08:09,Lenox Hill East,Central Harlem,Manhattan,Manhattan
2019-03-30 12:43:16,2019-03-30 12:58:44,East Village,Midtown South,Manhattan,Manhattan
2019-03-13 09:28:50,2019-03-13 09:58:19,West Chelsea/Hudson Yards,Midtown Center,Manhattan,Manhattan
2019-03-08 10:28:37,2019-03-08 11:03:15,Clinton East,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-29 10:20:07,2019-03-29 10:39:47,Clinton East,Upper West Side South,Manhattan,Manhattan
2019-03-15 19:58:47,2019-03-15 20:09:02,Murray Hill,Murray Hill,Manhattan,Manhattan
2019-03-08 19:41:40,2019-03-08 19:45:22,East Harlem South,Upper East Side North,Manhattan,Manhattan
2019-03-29 19:41:41,2019-03-29 19:44:41,Lenox Hill East,Lenox Hill East,Manhattan,Manhattan
2019-03-20 07:18:12,2019-03-20 07:25:51,Carroll Gardens,Cobble Hill,Brooklyn,Brooklyn
2019-03-24 03:44:09,2019-03-24 03:52:13,Clinton East,Murray Hill,Manhattan,Manhattan
2019-03-05 14:33:24,2019-03-05 14:43:34,Flatiron,Hudson Sq,Manhattan,Manhattan
2019-03-29 18:05:22,2019-03-29 18:13:47,Flatiron,Murray Hill,Manhattan,Manhattan
2019-03-27 22:09:59,2019-03-27 22:18:10,Midtown North,Upper East Side North,Manhattan,Manhattan
2019-03-11 07:50:19,2019-03-11 07:55:48,Lenox Hill West,Lenox Hill West,Manhattan,Manhattan
2019-03-10 23:57:00,2019-03-11 00:22:22,LaGuardia Airport,Pelham Parkway,Queens,Bronx
2019-03-29 19:56:13,2019-03-29 20:28:42,Garment District,Central Harlem North,Manhattan,Manhattan
2019-03-27 10:17:51,2019-03-27 10:25:11,Gramercy,Murray Hill,Manhattan,Manhattan
2019-03-15 16:45:55,2019-03-15 17:46:47,LaGuardia Airport,Battery Park City,Queens,Manhattan
2019-03-11 17:14:25,2019-03-11 17:22:16,Greenwich Village North,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
2019-03-18 13:30:10,2019-03-18 13:44:25,West Chelsea/Hudson Yards,Kips Bay,Manhattan,Manhattan
2019-03-02 15:50:36,2019-03-02 15:56:16,East Village,Midtown South,Manhattan,Manhattan
2019-03-13 23:04:32,2019-03-13 23:22:05,Gramercy,Upper East Side North,Manhattan,Manhattan
2019-03-17 10:57:04,2019-03-17 11:10:42,East Village,East Chelsea,Manhattan,Manhattan
2019-03-14 12:49:32,2019-03-14 12:53:14,Midtown East,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019-03-28 17:57:41,2019-03-28 18:10:43,Clinton East,Lincoln Square East,Manhattan,Manhattan
2019-03-18 14:28:51,2019-03-18 14:33:16,Midtown South,Murray Hill,Manhattan,Manhattan
2019-03-14 18:12:22,2019-03-14 18:35:46,Penn Station/Madison Sq West,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-08 08:12:06,2019-03-08 08:19:04,Clinton East,East Chelsea,Manhattan,Manhattan
2019-03-15 06:47:39,2019-03-15 06:57:06,Midtown South,Kips Bay,Manhattan,Manhattan
2019-03-12 18:42:51,2019-03-12 18:54:04,Midtown North,Central Park,Manhattan,Manhattan
2019-03-02 17:40:53,2019-03-02 17:59:26,East Harlem South,Midtown Center,Manhattan,Manhattan
2019-03-20 23:25:51,2019-03-20 23:39:36,Lincoln Square East,Murray Hill,Manhattan,Manhattan
2019-03-17 08:58:03,2019-03-17 08:59:57,West Village,Greenwich Village North,Manhattan,Manhattan
2019-03-01 17:02:34,2019-03-01 17:20:34,Lenox Hill East,Seaport,Manhattan,Manhattan
2019-03-13 14:15:35,2019-03-13 14:18:09,Central Park,Upper East Side North,Manhattan,Manhattan
2019-03-31 08:02:32,2019-03-31 08:08:13,Hudson Sq,Battery Park City,Manhattan,Manhattan
2019-03-31 21:27:22,2019-03-31 21:32:02,Upper East Side South,Upper East Side South,Manhattan,Manhattan
2019-03-26 12:25:37,2019-03-26 12:42:41,Lincoln Square West,Lenox Hill East,Manhattan,Manhattan
2019-03-15 14:01:54,2019-03-15 14:01:59,,,,
2019-03-06 08:36:13,2019-03-06 08:43:09,Meatpacking/West Village West,West Village,Manhattan,Manhattan
2019-03-28 20:32:19,2019-03-28 20:44:11,Clinton East,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-07 08:48:06,2019-03-07 09:13:54,Midtown Center,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-01 20:23:42,2019-03-01 20:27:04,Upper West Side South,Upper West Side North,Manhattan,Manhattan
2019-03-17 22:55:40,2019-03-17 23:12:12,Murray Hill,Lower East Side,Manhattan,Manhattan
2019-03-09 11:26:04,2019-03-09 11:32:20,Financial District North,Two Bridges/Seward Park,Manhattan,Manhattan
2019-03-07 07:31:58,2019-03-07 07:56:12,Midtown Center,Battery Park City,Manhattan,Manhattan
2019-03-08 12:02:02,2019-03-08 12:09:01,Murray Hill,East Village,Manhattan,Manhattan
2019-03-06 19:33:54,2019-03-06 19:39:24,Upper East Side North,Upper East Side South,Manhattan,Manhattan
2019-03-01 19:12:08,2019-03-01 19:22:19,Penn Station/Madison Sq West,Murray Hill,Manhattan,Manhattan
2019-03-17 10:02:59,2019-03-17 10:10:14,Midtown Center,Midtown East,Manhattan,Manhattan
2019-03-30 15:46:03,2019-03-30 15:58:05,Manhattan Valley,East Harlem South,Manhattan,Manhattan
2019-03-15 23:29:15,2019-03-15 23:38:09,West Chelsea/Hudson Yards,Union Sq,Manhattan,Manhattan
2019-03-18 08:44:18,2019-03-18 09:02:27,Upper West Side North,Midtown South,Manhattan,Manhattan
2019-03-08 10:48:54,2019-03-08 11:05:22,Union Sq,Murray Hill,Manhattan,Manhattan
2019-03-07 05:53:31,2019-03-07 05:59:20,Upper West Side North,East Harlem South,Manhattan,Manhattan
2019-03-21 16:18:23,2019-03-21 16:28:42,Midtown South,Midtown Center,Manhattan,Manhattan
2019-03-31 14:10:57,2019-03-31 14:39:09,Lincoln Square East,East Village,Manhattan,Manhattan
2019-03-15 23:02:54,2019-03-15 23:22:09,Times Sq/Theatre District,Astoria,Manhattan,Queens
2019-03-17 22:58:38,2019-03-17 23:00:51,East Harlem North,East Harlem South,Manhattan,Manhattan
2019-03-24 15:35:19,2019-03-24 15:40:17,Central Park,Lincoln Square East,Manhattan,Manhattan
2019-03-14 22:08:17,2019-03-14 22:15:57,Washington Heights South,Riverdale/North Riverdale/Fieldston,Manhattan,Bronx
2019-03-06 23:13:59,2019-03-06 23:28:59,Financial District North,Clinton Hill,Manhattan,Brooklyn
2019-03-04 09:41:37,2019-03-04 10:21:08,JFK Airport,West Village,Queens,Manhattan
2019-03-31 02:46:01,2019-03-31 03:03:41,West Village,Yorkville West,Manhattan,Manhattan
2019-03-11 19:56:59,2019-03-11 20:15:17,Midtown East,Greenwich Village South,Manhattan,Manhattan
2019-03-04 12:59:02,2019-03-04 13:06:44,Central Harlem,East Harlem North,Manhattan,Manhattan
2019-03-06 08:31:30,2019-03-06 08:51:10,Sutton Place/Turtle Bay North,Lincoln Square East,Manhattan,Manhattan
2019-03-20 00:12:41,2019-03-20 00:25:21,Alphabet City,Greenwich Village North,Manhattan,Manhattan
2019-03-15 08:29:44,2019-03-15 09:18:45,Upper West Side North,Roosevelt Island,Manhattan,Manhattan
2019-03-11 19:12:52,2019-03-11 19:26:42,Murray Hill,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-29 15:27:03,2019-03-29 15:32:47,Union Sq,Flatiron,Manhattan,Manhattan
2019-03-05 19:28:37,2019-03-05 19:44:16,Upper East Side South,Midtown East,Manhattan,Manhattan
2019-03-04 18:34:11,2019-03-04 18:43:34,Lincoln Square East,Lenox Hill West,Manhattan,Manhattan
2019-03-29 08:22:52,2019-03-29 08:46:44,TriBeCa/Civic Center,Murray Hill,Manhattan,Manhattan
2019-03-09 13:00:01,2019-03-09 13:05:35,Two Bridges/Seward Park,Lower East Side,Manhattan,Manhattan
2019-03-03 18:27:08,2019-03-03 18:40:00,Midtown East,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-20 19:17:24,2019-03-20 19:25:50,Morningside Heights,Upper West Side South,Manhattan,Manhattan
2019-03-08 20:42:07,2019-03-08 21:14:40,Midtown South,Mott Haven/Port Morris,Manhattan,Bronx
2019-03-14 15:58:37,2019-03-14 16:10:12,Midtown East,Yorkville West,Manhattan,Manhattan
2019-03-16 09:56:29,2019-03-16 10:02:49,Midtown Center,Murray Hill,Manhattan,Manhattan
2019-03-25 18:11:53,2019-03-25 18:19:45,Union Sq,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-09 16:57:24,2019-03-09 17:06:55,Greenwich Village South,Midtown South,Manhattan,Manhattan
2019-03-03 04:50:15,2019-03-03 05:04:47,Two Bridges/Seward Park,Union Sq,Manhattan,Manhattan
2019-03-25 21:12:33,2019-03-25 21:20:15,TriBeCa/Civic Center,Financial District South,Manhattan,Manhattan
